60,2023-06-04 05:07:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
0.0,-44277657201.641235,-133164724312.17363,-57720433616.663925,True,[-4.42825369e+10 -1.33164653e+11 -5.77251063e+10],[4879648.39800451  -71167.28660355 4672721.69055796],[-4.42776572e+10 -1.33164724e+11 -5.77204336e+10],44.066498754118676,30.320073517623904,388669.32888281345
60.0,-44276304944.4467,-133165294993.35994,-57720329889.40972,True,[-4.42808571e+10 -1.33165138e+11 -5.77253164e+10],[4552181.66987128 -157194.70156939 4986495.73606505],[-4.42763049e+10 -1.33165295e+11 -5.77203299e+10],47.89968141994852,28.923905573251066,387274.4039178489
120.0,-44274973824.914154,-133165864926.22603,-57720249382.50154,True,[-4.42791774e+10 -1.33165622e+11 -5.77255264e+10],[4203571.26113725 -242491.89456815 5277041.59845086],[-4.42749738e+10 -1.33165865e+11 -5.77202494e+10],51.71916848765592,27.344661025763777,385998.2393414835
180.0,-44273662237.78377,-133166433713.76152,-57720193466.95087,True,[-4.42774977e+10 -1.33166107e+11 -5.77257365e+10],[3835422.4318387  -326661.85527825 5542988.26619305],[-4.42736622e+10 -1.33166434e+11 -5.77201935e+10],55.520350574103524,25.520624834371258,384830.1683710219
240.0,-44272368483.65494,-133167000963.71503,-57720163399.57539,True,[-4.42758179e+10 -1.33166592e+11 -5.77259465e+10],[3449434.58280232 -409312.33234538 5783078.92154514],[-4.42723685e+10 -1.33167001e+11 -5.77201634e+10],59.296473517795285,23.360964309136065,383759.5944931877
300.0,-44271090777.02159,-133167566290.48912,-57720160316.76012,True,[-4.42741382e+10 -1.33167076e+11 -5.77261565e+10],[3047393.22033228 -490057.7284853  5996177.17953432],[-4.42710908e+10 -1.33167566e+11 -5.77201603e+10],63.0371435778948,20.72671058054787,382776.3443825883
360.0,-44269827254.739944,-133168129317.00404,-57720185228.812744,True,[-4.42724584e+10 -1.33167561e+11 -5.77263665e+10],[2631161.48838192 -568520.96388005 6181272.73242154],[-4.42698273e+10 -1.33168129e+11 -5.77201852e+10],66.72547322682703,17.39555335014717,381871.00182253803
420.0,-44268575984.8834,-133168689676.5197,-57720239014.93896,True,[-4.42707787e+10 -1.33168045e+11 -5.77265765e+10],[2202671.31378368 -644335.29860478 6337486.37448832],[-4.4268576e+10 -1.3316869e+11 -5.7720239e+10],70.33225988814449,12.993450892957096,381035.2157486687
480.0,-44267334975.93822,-133169247014.40881,-57720322418.8586,True,[-4.42690989e+10 -1.33168530e+11 -5.77267865e+10],[1763914.21047294 -717146.10533285 6464074.38587201],[-4.42673350e+10 -1.33169247e+11 -5.77203224e+10],73.80322199480005,6.856816925733479,380261.97617769014
540.0,-44266102186.294235,-133169800989.87128,-57720436045.08066,True,[-4.42674191e+10 -1.33169014e+11 -5.77269965e+10],[1316931.78883297 -786612.58403039 6560432.25758138],[-4.42661022e+10 -1.33169801e+11 -5.77204360e+10],77.02910943344494,-2.2394200627973904,379545.852509989
600.0,-44264875533.98435,-133170351277.58307,-57720580355.85178,True,[-4.42657393e+10 -1.33169499e+11 -5.77272065e+10],[ 863806.01617804 -852409.4108089  6626097.74291976],[-4.42648755e+10 -1.33170351e+11 -5.77205804e+10],79.77538405694554,-16.474128802641427,378883.1894845398
660.0,-44263652906.627106,-133170897569.27208,-57720755668.79061,True,[-4.42640596e+10 -1.33169983e+11 -5.77274164e+10],[ 406649.27415946 -914228.31352167 6660753.22326248],[-4.42636529e+10 -1.33170898e+11 -5.77207557e+10],81.559941817632,-38.41465707888571,378272.25690232957
720.0,-44262432171.5268,-133171439575.21309,-57720962155.21718,True,[-4.42623798e+10 -1.33170468e+11 -5.77276264e+10],[ -52405.74128075 -971779.56704871 6664227.37850398],[-4.42624322e+10 -1.33171440e+11 -5.77209622e+10],81.73393813235282,-65.81859804626244,377713.35010663926
780.0,-44261211185.88527,-133171977025.6362,-57721199839.18553,True,[-4.42607000e+10 -1.33170952e+11 -5.77278363e+10],[ -511216.23180578 -1024793.40151883  6636496.15461056],[-4.42612112e+10 -1.33171977e+11 -5.77211998e+10],80.2103785671705,-89.27426892751166,377208.8391057399
840.0,-44259987807.08016,-133172509672.04138,-57721468597.22456,True,[-4.42590202e+10 -1.33171437e+11 -5.77280463e+10],[ -967639.57480546 -1073021.31699377  6577683.0226652 ],[-4.42599878e+10 -1.33172510e+11 -5.77214686e+10],77.5991309638243,-104.82338148696186,376763.16513964534
900.0,-44258759902.96305,-133173037288.4135,-57721768158.79126,True,[-4.42573404e+10 -1.33171921e+11 -5.77282562e+10],[-1419543.62168856 -1116237.2983501   6488058.52565149],[-4.42587599e+10 -1.33173037e+11 -5.77217682e+10],74.43760603015589,-114.70260451077806,376382.7844222348
960.0,-44257525362.13143,-133173559672.33116,-57722098107.43801,True,[-4.42556605e+10 -1.33172405e+11 -5.77284661e+10],[-1864816.969707   -1154238.92429609  6368039.11114917],[-4.42575254e+10 -1.33173560e+11 -5.77220981e+10],70.99771637707563,-121.28860172458347,376076.05973165506
1020.0,-44256282104.1265,-133174076645.96417,-57722457882.69381,True,[-4.42539807e+10 -1.33172890e+11 -5.77286761e+10],[-2301379.1598721  -1186848.3646557   6218185.25017803],[-4.42562821e+10 -1.33174077e+11 -5.77224579e+10],67.40549632102365,-125.95995707608814,375853.1014693275
1080.0,-44255028089.50874,-133174588056.95328,-57722846782.656555,True,[-4.42523009e+10 -1.33173374e+11 -5.77288860e+10],[-2727190.75245127 -1213913.26025318  6039198.84477361],[-4.42550281e+10 -1.33174588e+11 -5.77228468e+10],63.72265811792173,-129.46154346415827,375725.5607589754
