60,2023-06-07 13:15:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
0.0,-5401215.279480347,-3439193.610651619,-2285707.2475653216,False,[-3.61407590e+10 -1.35284689e+11 -5.86440228e+10],[-5401215.27948035 -3439193.61065162 -2285707.24756532],[-3.61461602e+10 -1.35288128e+11 -5.86463085e+10],-19.869767234606375,118.37930112511978,423259.800796402
60.0,-5128938.653759538,-3624020.037638288,-2606033.831728657,False,[-3.61390528e+10 -1.35285086e+11 -5.86441949e+10],[-5128938.65375954 -3624020.03763829 -2606033.83172866],[-3.61441817e+10 -1.35288710e+11 -5.86468009e+10],-22.77198513532057,120.89239590169392,424379.35276780074
120.0,-4833248.58414882,-3792303.0759217143,-2914429.93745822,False,[-3.61373466e+10 -1.35285483e+11 -5.86443670e+10],[-4833248.58414882 -3792303.07592171 -2914429.93745822],[-3.61421798e+10 -1.35289275e+11 -5.86472814e+10],-25.622726011300696,123.52293240034373,425524.1920108545
180.0,-4515504.112178029,-3943281.789688028,-3209489.316027518,False,[-3.61356403e+10 -1.35285880e+11 -5.86445391e+10],[-4515504.11217803 -3943281.78968803 -3209489.31602752],[-3.61401558e+10 -1.35289823e+11 -5.86477486e+10],-28.412343686717033,126.29109006251562,426679.83887913736
240.0,-4177163.7333035,-4076274.805999181,-3489867.8976469194,False,[-3.61339341e+10 -1.35286277e+11 -5.86447112e+10],[-4177163.7333035  -4076274.80599918 -3489867.89764692],[-3.61381112e+10 -1.35290353e+11 -5.86482010e+10],-31.129930283989257,129.2185721539626,427831.24012785434
300.0,-3819778.5287348926,-4190683.2290099473,-3754289.780027155,False,[-3.61322278e+10 -1.35286674e+11 -5.86448832e+10],[-3819778.52873489 -4190683.22900995 -3754289.78002715],[-3.61360476e+10 -1.35290864e+11 -5.86486375e+10],-33.76308342312294,132.3285392320762,428963.0185690724
360.0,-3444984.917396353,-4285993.161393264,-4001552.8699996243,False,[-3.61305216e+10 -1.35287070e+11 -5.86450553e+10],[-3444984.91739635 -4285993.16139326 -4001552.86999962],[-3.61339665e+10 -1.35291356e+11 -5.86490568e+10],-36.29766293637041,135.64534318136663,430059.72885490867
420.0,-3054497.0677624964,-4361777.827984486,-4230534.157907139,False,[-3.61288153e+10 -1.35287467e+11 -5.86452273e+10],[-3054497.0677625  -4361777.82798449 -4230534.15790714],[-3.61318698e+10 -1.35291829e+11 -5.86494579e+10],-38.71755433322433,139.1939618502781,431106.1147535766
480.0,-2650099.009319564,-4417699.298952276,-4440194.607317813,False,[-3.61271090e+10 -1.35287864e+11 -5.86453994e+10],[-2650099.00931956 -4417699.29895228 -4440194.60731781],[-3.61297591e+10 -1.35292282e+11 -5.86498396e+10],-41.00446935403487,142.99900752973016,432087.3633670474
540.0,-2233636.482899688,-4453509.811913429,-4629583.645378223,False,[-3.61254027e+10 -1.35288261e+11 -5.86455714e+10],[-2233636.48289969 -4453509.81191343 -4629583.64537822],[-3.61276364e+10 -1.35292714e+11 -5.86502010e+10],-43.13783189100381,147.08316636910786,432989.3519041776
600.0,-1807008.568408489,-4469052.694221035,-4797843.241625263,False,[-3.61236965e+10 -1.35288658e+11 -5.86457434e+10],[-1807008.56840849 -4469052.69422103 -4797843.24162526],[-3.61255035e+10 -1.35293127e+11 -5.86505413e+10],-45.09481933442782,151.4649405509076,433798.8828575498
660.0,-1372159.127403321,-4464262.888219744,-4944211.565390698,False,[-3.61219902e+10 -1.35289055e+11 -5.86459155e+10],[-1372159.12740332 -4464262.88821974 -4944211.5653907 ],[-3.61233623e+10 -1.35293519e+11 -5.86508597e+10],-46.85065072896437,156.15564202671297,434503.9037254097
720.0,-931068.0968073328,-4439167.083546843,-5068026.2139458405,False,[-3.61202839e+10 -1.35289451e+11 -5.86460875e+10],[ -931068.09680733 -4439167.08354684 -5068026.21394584],[-3.61212150e+10 -1.35293891e+11 -5.86511555e+10],-48.37922429757811,161.15576248149307,435093.70776006207
780.0,-485742.6687087947,-4393883.461588542,-5168727.005294223,False,[-3.61185776e+10 -1.35289848e+11 -5.86462595e+10],[ -485742.66870879 -4393883.46158854 -5168727.00529422],[-3.61190633e+10 -1.35294242e+11 -5.86514282e+10],-49.65419184824186,166.45113900420938,435559.1125999952
840.0,-38208.389926180585,-4328621.05799578,-5245858.330961466,False,[-3.61168713e+10 -1.35290245e+11 -5.86464315e+10],[  -38208.38992618 -4328621.05799578 -5245858.33096147],[-3.61169095e+10 -1.35294574e+11 -5.86516773e+10],-50.65049732620854,172.00970999546587,435892.61404618423
