300,2023-06-07 13:15:00+00:00
timestep=300,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
0.0,-36146160248.54927,-135288127970.05351,-58646308523.98747,False,[-3.61407590e+10 -1.35284689e+11 -5.86440228e+10],[-5401215.27948035 -3439193.61065162 -2285707.24756532],[-3.61461602e+10 -1.35288128e+11 -5.86463085e+10],-19.869767234606375,118.37930112511978,423259.800796402
300.0,-36136047592.7796,-135290864196.2257,-58648637514.913765,False,[-3.61322278e+10 -1.35286674e+11 -5.86448832e+10],[-3819778.52873489 -4190683.22900995 -3754289.78002715],[-3.61360476e+10 -1.35290864e+11 -5.86486375e+10],-33.76308342312294,132.3285392320762,428963.0185690724
600.0,-36125503478.69204,-135293126842.84816,-58650541277.950386,False,[-3.61236965e+10 -1.35288658e+11 -5.86457434e+10],[-1807008.56840849 -4469052.69422103 -4797843.24162526],[-3.61255035e+10 -1.35293127e+11 -5.86505413e+10],-45.09481933442782,151.4649405509076,433798.8828575498
900.0,-36114755501.12865,-135294885286.6567,-58651902516.52707,False,[-3.61151650e+10 -1.35290642e+11 -5.86466034e+10],[  409499.78631267 -4243678.74974259 -5299071.06532919],[-3.61147555e+10 -1.35294885e+11 -5.86519025e+10],-51.34629085845033,177.7799676657289,436088.51266481756
1200.0,-36104053511.980385,-135296165280.32312,-58652664994.37566,False,[-3.61066334e+10 -1.35292625e+11 -5.86474633e+10],[ 2579894.67129938 -3540314.07493095 -5201736.98635367],[-3.61040535e+10 -1.35296165e+11 -5.86526650e+10],-50.000338221696126,-152.93885179369096,434940.5138450151
1500.0,-36093642151.2879,-135297045890.90565,-58652839455.266525,False,[-3.60981017e+10 -1.35294608e+11 -5.86483229e+10],[ 4459536.07276513 -2438025.73564312 -4516584.77833178],[-3.60936422e+10 -1.35297046e+11 -5.86528395e+10],-41.69240039536715,-129.00801528408581,430617.51439996425
1800.0,-36083734017.407715,-135297650938.86534,-58652502575.685776,True,[-3.60895698e+10 -1.35296590e+11 -5.86491823e+10],[ 5835825.66103943 -1060634.20054877 -3320290.93069641],[-3.60837340e+10 -1.35297651e+11 -5.86525026e+10],-29.26576937071466,-111.93932618590591,424452.3600079718
2100.0,-36074485861.41673,-135298135628.93231,-58651788958.37766,True,[-3.60810379e+10 -1.35298572e+11 -5.86500415e+10],[ 6552012.38607765   436655.79262269 -1747458.19097379],[-3.60744859e+10 -1.35298136e+11 -5.86517890e+10],-14.861936301011074,-99.09479610350367,418341.785181726
2400.0,-36065980310.46196,-135298669415.03654,-58650876565.94168,True,[-3.60725058e+10 -1.35300554e+11 -5.86509005e+10],[6525469.12772555 1884390.30632505   23950.83803805],[-3.60659803e+10 -1.35298669e+11 -5.86508766e+10],0.32891799042897146,-88.05165381861597,414009.7374728558
2700.0,-36058215606.03294,-135299416751.57545,-58649966753.08076,True,[-3.60639736e+10 -1.35302535e+11 -5.86517593e+10],[5757954.4233053  3118114.93546861 1792581.450073  ],[-3.60582156e+10 -1.35299417e+11 -5.86499668e+10],15.51763355126853,-76.95912177349574,412346.0000593861
3000.0,-36051105182.11364,-135300518023.12332,-58649261072.32534,True,[-3.60554412e+10 -1.35304515e+11 -5.86526180e+10],[4336034.31570396 3997445.09823572 3356881.11142881],[-3.60511052e+10 -1.35300518e+11 -5.86492611e+10],29.900791675261985,-63.94332348933416,413116.9927284426
